V1	V(Vd)*I(R1)
Step Information: Rap=1  (Step: 1/11)
-2.999999999999998e-01	3.678534e-20
-1.999999999999993e-01	3.678534e-20
-9.999999999999964e-02	3.678534e-20
0.000000000000000e+00	3.678534e-20
1.000000000000005e-01	3.678534e-20
2.000000000000002e-01	3.678533e-20
3.000000000000007e-01	3.678536e-20
4.000000000000004e-01	3.678549e-20
5.000000000000000e-01	3.678654e-20
6.000000000000005e-01	3.679398e-20
7.000000000000002e-01	3.684907e-20
8.000000000000007e-01	3.725715e-20
9.000000000000004e-01	4.034252e-20
1.000000000000000e+00	6.694461e-20
1.100000000000001e+00	4.711816e-19
1.200000000000000e+00	1.479648e-17
1.300000000000001e+00	7.396614e-16
1.400000000000000e+00	3.988693e-14
1.500000000000000e+00	2.173215e-12
1.600000000000001e+00	1.184901e-10
1.700000000000000e+00	6.448877e-09
1.800000000000001e+00	3.490987e-07
1.900000000000000e+00	1.861996e-05
2.000000000000000e+00	9.532021e-04
2.100000000000001e+00	4.345360e-02
2.200000000000000e+00	1.427110e+00
2.300000000000001e+00	2.127999e+01
2.400000000000000e+00	9.833194e+01
2.500000000000000e+00	1.490535e+02
2.600000000000001e+00	1.493894e+02
2.700000000000000e+00	1.495314e+02
2.800000000000001e+00	1.496120e+02
2.900000000000000e+00	1.496640e+02
3.000000000000000e+00	1.497005e+02
3.100000000000000e+00	1.497274e+02
3.200000000000001e+00	1.497482e+02
3.300000000000001e+00	1.497647e+02
3.400000000000000e+00	1.497782e+02
3.500000000000000e+00	1.497894e+02
3.600000000000000e+00	1.497988e+02
3.700000000000001e+00	1.498069e+02
3.800000000000001e+00	1.498138e+02
3.900000000000000e+00	1.498199e+02
4.000000000000000e+00	1.498253e+02
4.100000000000000e+00	1.498301e+02
4.200000000000001e+00	1.498343e+02
4.300000000000001e+00	1.498382e+02
4.400000000000000e+00	1.498417e+02
4.500000000000000e+00	1.498448e+02
4.600000000000001e+00	1.498477e+02
4.700000000000001e+00	1.498503e+02
4.800000000000001e+00	1.498528e+02
4.900000000000000e+00	1.498550e+02
5.000000000000000e+00	1.498570e+02
5.100000000000001e+00	1.498590e+02
5.200000000000001e+00	1.498608e+02
5.300000000000001e+00	1.498624e+02
5.400000000000000e+00	1.498640e+02
5.500000000000000e+00	1.498654e+02
5.600000000000001e+00	1.498668e+02
5.700000000000001e+00	1.498681e+02
5.800000000000001e+00	1.498693e+02
5.900000000000000e+00	1.498705e+02
6.000000000000000e+00	1.498716e+02
6.100000000000001e+00	1.498726e+02
6.200000000000001e+00	1.498736e+02
6.300000000000001e+00	1.498745e+02
6.400000000000000e+00	1.498754e+02
6.500000000000000e+00	1.498763e+02
6.600000000000001e+00	1.498771e+02
6.700000000000001e+00	1.498778e+02
6.800000000000001e+00	1.498785e+02
6.900000000000000e+00	1.498793e+02
7.000000000000000e+00	1.498799e+02
7.100000000000001e+00	1.498806e+02
7.200000000000001e+00	1.498812e+02
7.300000000000001e+00	1.498818e+02
7.400000000000000e+00	1.498823e+02
7.500000000000000e+00	1.498829e+02
7.600000000000001e+00	1.498834e+02
7.700000000000001e+00	1.498839e+02
7.800000000000001e+00	1.498844e+02
7.900000000000000e+00	1.498849e+02
8.000000000000000e+00	1.498853e+02
8.100000000000001e+00	1.498858e+02
8.200000000000001e+00	1.498862e+02
8.300000000000001e+00	1.498866e+02
8.400000000000000e+00	1.498870e+02
8.500000000000000e+00	1.498874e+02
8.600000000000001e+00	1.498878e+02
8.700000000000001e+00	1.498881e+02
8.800000000000001e+00	1.498885e+02
8.900000000000000e+00	1.498888e+02
9.000000000000000e+00	1.498891e+02
9.100000000000001e+00	1.498894e+02
9.200000000000001e+00	1.498898e+02
9.300000000000001e+00	1.498901e+02
9.400000000000000e+00	1.498904e+02
9.500000000000000e+00	1.498906e+02
9.600000000000001e+00	1.498909e+02
9.700000000000001e+00	1.498912e+02
9.800000000000001e+00	1.498914e+02
9.900000000000000e+00	1.498917e+02
1.000000000000000e+01	1.498919e+02
1.010000000000000e+01	1.498922e+02
1.020000000000000e+01	1.498924e+02
1.030000000000000e+01	1.498926e+02
1.040000000000000e+01	1.498929e+02
1.050000000000000e+01	1.498931e+02
1.060000000000000e+01	1.498933e+02
1.070000000000000e+01	1.498935e+02
1.080000000000000e+01	1.498937e+02
1.090000000000000e+01	1.498939e+02
1.100000000000000e+01	1.498941e+02
1.110000000000000e+01	1.498943e+02
1.120000000000000e+01	1.498945e+02
1.130000000000000e+01	1.498947e+02
1.140000000000000e+01	1.498948e+02
1.150000000000000e+01	1.498950e+02
1.160000000000000e+01	1.498952e+02
1.170000000000000e+01	1.498953e+02
1.180000000000000e+01	1.498955e+02
1.190000000000000e+01	1.498957e+02
1.200000000000000e+01	1.498958e+02
1.210000000000000e+01	1.498960e+02
1.220000000000000e+01	1.498961e+02
1.230000000000000e+01	1.498963e+02
1.240000000000000e+01	1.498964e+02
1.250000000000000e+01	1.498965e+02
1.260000000000000e+01	1.498967e+02
1.270000000000000e+01	1.498968e+02
1.280000000000000e+01	1.498970e+02
1.290000000000000e+01	1.498971e+02
1.300000000000000e+01	1.498972e+02
1.310000000000000e+01	1.498973e+02
1.320000000000000e+01	1.498975e+02
1.330000000000000e+01	1.498976e+02
1.340000000000000e+01	1.498977e+02
1.350000000000000e+01	1.498978e+02
1.360000000000000e+01	1.498979e+02
1.370000000000000e+01	1.498980e+02
1.380000000000000e+01	1.498981e+02
1.390000000000000e+01	1.498983e+02
1.400000000000000e+01	1.498984e+02
1.410000000000000e+01	1.498985e+02
1.420000000000000e+01	1.498986e+02
1.430000000000000e+01	1.498987e+02
1.440000000000000e+01	1.498988e+02
1.450000000000000e+01	1.498989e+02
1.460000000000000e+01	1.498990e+02
1.470000000000000e+01	1.498991e+02
1.480000000000000e+01	1.498992e+02
1.490000000000000e+01	1.498993e+02
1.500000000000000e+01	1.498993e+02
1.510000000000000e+01	1.498994e+02
1.520000000000000e+01	1.498995e+02
1.530000000000000e+01	1.498996e+02
1.540000000000000e+01	1.498997e+02
1.550000000000000e+01	1.498998e+02
1.560000000000000e+01	1.498999e+02
1.570000000000000e+01	1.498999e+02
1.580000000000000e+01	1.499000e+02
1.590000000000000e+01	1.499001e+02
1.600000000000000e+01	1.499002e+02
1.610000000000000e+01	1.499002e+02
1.620000000000000e+01	1.499003e+02
1.630000000000000e+01	1.499004e+02
1.640000000000000e+01	1.499005e+02
1.650000000000000e+01	1.499005e+02
1.660000000000000e+01	1.499006e+02
1.670000000000000e+01	1.499007e+02
1.680000000000000e+01	1.499008e+02
1.690000000000000e+01	1.499008e+02
1.700000000000000e+01	1.499009e+02
1.710000000000000e+01	1.499010e+02
1.720000000000000e+01	1.499010e+02
1.730000000000000e+01	1.499011e+02
1.740000000000000e+01	1.499011e+02
1.750000000000000e+01	1.499012e+02
1.760000000000000e+01	1.499013e+02
1.770000000000000e+01	1.499013e+02
1.780000000000000e+01	1.499014e+02
