V1	V(N001,Vd)
Step Information: Rap=1  (Step: 1/11)
1.710000000000000e+01	5.934143e-02
1.720000000000000e+01	5.930328e-02
1.730000000000000e+01	5.926323e-02
1.740000000000000e+01	5.922508e-02
1.750000000000000e+01	5.918694e-02
1.760000000000000e+01	5.915070e-02
1.770000000000000e+01	5.911446e-02
1.780000000000000e+01	5.907631e-02
1.790000000000000e+01	5.904198e-02
1.800000000000000e+01	5.900574e-02
1.810000000000000e+01	5.897141e-02
1.820000000000000e+01	5.893707e-02
1.830000000000000e+01	5.890274e-02
1.840000000000000e+01	5.886841e-02
1.850000000000000e+01	5.883598e-02
1.860000000000000e+01	5.880165e-02
1.870000000000000e+01	5.876923e-02
1.880000000000000e+01	5.873871e-02
1.890000000000000e+01	5.870628e-02
1.900000000000000e+01	5.867577e-02
1.910000000000000e+01	5.864334e-02
1.920000000000000e+01	5.861282e-02
1.930000000000000e+01	5.858421e-02
1.940000000000000e+01	5.855370e-02
1.950000000000000e+01	5.852318e-02
1.960000000000000e+01	5.849457e-02
1.970000000000000e+01	5.846596e-02
1.980000000000000e+01	5.843735e-02
1.990000000000000e+01	5.840874e-02
2.000000000000000e+01	5.838203e-02
Step Information: Rap=6  (Step: 2/11)
-5.000000000000000e+00	3.000000e+01
-4.900000000000000e+00	3.000000e+01
-4.800000000000000e+00	3.000000e+01
-4.700000000000000e+00	3.000000e+01
-4.600000000000000e+00	3.000000e+01
-4.500000000000000e+00	3.000000e+01
-4.400000000000000e+00	3.000000e+01
-4.300000000000000e+00	3.000000e+01
-4.200000000000000e+00	3.000000e+01
-4.100000000000000e+00	3.000000e+01
-4.000000000000000e+00	3.000000e+01
-3.900000000000000e+00	3.000000e+01
-3.800000000000000e+00	3.000000e+01
-3.700000000000000e+00	3.000000e+01
-3.600000000000000e+00	3.000000e+01
-3.500000000000000e+00	3.000000e+01
-3.400000000000000e+00	3.000000e+01
-3.300000000000000e+00	3.000000e+01
-3.200000000000000e+00	3.000000e+01
-3.100000000000000e+00	3.000000e+01
-3.000000000000000e+00	3.000000e+01
-2.900000000000000e+00	3.000000e+01
-2.800000000000000e+00	3.000000e+01
-2.700000000000000e+00	3.000000e+01
