V1	I(R1)
Step Information: Rap=1  (Step: 1/11)
1.930000000000000e+01	2.994142e+01
1.940000000000000e+01	2.994145e+01
1.950000000000000e+01	2.994148e+01
1.960000000000000e+01	2.994151e+01
1.970000000000000e+01	2.994153e+01
1.980000000000000e+01	2.994156e+01
1.990000000000000e+01	2.994159e+01
2.000000000000000e+01	2.994162e+01
Step Information: Rap=6  (Step: 2/11)
-5.000000000000000e+00	7.830003e-11
-4.900000000000000e+00	7.830003e-11
-4.800000000000000e+00	7.830003e-11
-4.700000000000000e+00	7.830003e-11
-4.600000000000000e+00	7.830003e-11
-4.500000000000000e+00	7.830003e-11
-4.400000000000000e+00	7.830003e-11
-4.300000000000000e+00	7.830003e-11
-4.200000000000000e+00	7.830003e-11
-4.100000000000000e+00	7.830003e-11
-4.000000000000000e+00	7.830003e-11
-3.900000000000000e+00	7.829996e-11
-3.800000000000000e+00	7.830003e-11
-3.700000000000000e+00	7.829996e-11
-3.600000000000000e+00	7.829996e-11
-3.500000000000000e+00	7.830003e-11
-3.400000000000000e+00	7.829996e-11
-3.300000000000000e+00	7.830003e-11
-3.200000000000000e+00	7.829996e-11
-3.100000000000000e+00	7.829996e-11
-3.000000000000000e+00	7.829996e-11
-2.900000000000000e+00	7.829996e-11
-2.800000000000000e+00	7.829996e-11
-2.700000000000000e+00	7.829996e-11
-2.600000000000000e+00	7.829996e-11
-2.500000000000000e+00	7.829996e-11
-2.400000000000000e+00	7.829996e-11
-2.300000000000000e+00	7.829996e-11
-2.200000000000000e+00	7.829996e-11
-2.100000000000000e+00	7.829996e-11
-2.000000000000000e+00	7.829996e-11
-1.900000000000000e+00	7.830000e-11
-1.800000000000000e+00	7.829996e-11
-1.700000000000000e+00	7.829996e-11
-1.600000000000000e+00	7.830000e-11
-1.500000000000000e+00	7.830000e-11
-1.400000000000000e+00	7.830000e-11
-1.300000000000000e+00	7.830000e-11
-1.200000000000000e+00	7.830000e-11
-1.100000000000000e+00	7.830000e-11
-1.000000000000000e+00	7.830000e-11
-8.999999999999995e-01	7.830000e-11
-7.999999999999998e-01	7.830001e-11
-7.000000000000002e-01	7.830001e-11
-5.999999999999996e-01	7.830001e-11
-5.000000000000000e-01	7.830001e-11
-3.999999999999995e-01	7.830001e-11
-2.999999999999998e-01	7.830000e-11
-1.999999999999993e-01	7.830000e-11
-9.999999999999964e-02	7.830000e-11
0.000000000000000e+00	7.830000e-11
1.000000000000005e-01	7.830000e-11
2.000000000000002e-01	7.829999e-11
3.000000000000007e-01	7.830003e-11
4.000000000000004e-01	7.830016e-11
5.000000000000000e-01	7.830128e-11
6.000000000000005e-01	7.830919e-11
7.000000000000002e-01	7.836779e-11
8.000000000000007e-01	7.880054e-11
9.000000000000004e-01	8.199850e-11
1.000000000000000e+00	1.056288e-10
1.100000000000001e+00	2.802325e-10
1.200000000000000e+00	1.570375e-09
1.300000000000001e+00	1.110301e-08
1.400000000000000e+00	8.153417e-08
1.500000000000000e+00	6.018327e-07
1.600000000000001e+00	4.443912e-06
1.700000000000000e+00	3.278434e-05
1.800000000000001e+00	2.412118e-04
