V1	V(N001,Vd)*Id(M1)+V(Vg,Vd)*Ig(M1)
Step Information: Rap=1  (Step: 1/11)
1.310000000000000e+01	5.132825e-02
1.320000000000000e+01	5.126154e-02
1.330000000000000e+01	5.120435e-02
1.340000000000000e+01	5.114718e-02
1.350000000000000e+01	5.108046e-02
1.360000000000000e+01	5.102328e-02
1.370000000000000e+01	5.097563e-02
1.380000000000000e+01	5.091845e-02
1.390000000000000e+01	5.086127e-02
1.400000000000000e+01	5.080408e-02
1.410000000000000e+01	5.075644e-02
1.420000000000000e+01	5.070878e-02
1.430000000000000e+01	5.065160e-02
1.440000000000000e+01	5.060395e-02
1.450000000000000e+01	5.055630e-02
1.460000000000000e+01	5.050865e-02
1.470000000000000e+01	5.046099e-02
1.480000000000000e+01	5.041334e-02
1.490000000000000e+01	5.036569e-02
1.500000000000000e+01	5.031804e-02
1.510000000000000e+01	5.027992e-02
1.520000000000000e+01	5.023226e-02
1.530000000000000e+01	5.019415e-02
1.540000000000000e+01	5.014649e-02
1.550000000000000e+01	5.010837e-02
1.560000000000000e+01	5.006072e-02
1.570000000000000e+01	5.002260e-02
1.580000000000000e+01	4.998448e-02
1.590000000000000e+01	4.994635e-02
1.600000000000000e+01	4.990823e-02
1.610000000000000e+01	4.987011e-02
1.620000000000000e+01	4.983199e-02
1.630000000000000e+01	4.979387e-02
1.640000000000000e+01	4.975575e-02
1.650000000000000e+01	4.971762e-02
1.660000000000000e+01	4.967950e-02
1.670000000000000e+01	4.965091e-02
1.680000000000000e+01	4.961279e-02
1.690000000000000e+01	4.958420e-02
1.700000000000000e+01	4.954608e-02
1.710000000000000e+01	4.951749e-02
1.720000000000000e+01	4.947936e-02
1.730000000000000e+01	4.945077e-02
1.740000000000000e+01	4.941265e-02
1.750000000000000e+01	4.938406e-02
1.760000000000000e+01	4.935547e-02
1.770000000000000e+01	4.932688e-02
1.780000000000000e+01	4.928875e-02
1.790000000000000e+01	4.926016e-02
1.800000000000000e+01	4.923157e-02
1.810000000000000e+01	4.920298e-02
1.820000000000000e+01	4.917439e-02
1.830000000000000e+01	4.914580e-02
1.840000000000000e+01	4.911721e-02
1.850000000000000e+01	4.908861e-02
1.860000000000000e+01	4.906002e-02
1.870000000000000e+01	4.903143e-02
1.880000000000000e+01	4.901237e-02
1.890000000000000e+01	4.898378e-02
1.900000000000000e+01	4.895519e-02
1.910000000000000e+01	4.892659e-02
1.920000000000000e+01	4.890754e-02
1.930000000000000e+01	4.887894e-02
1.940000000000000e+01	4.885989e-02
1.950000000000000e+01	4.883129e-02
1.960000000000000e+01	4.880270e-02
1.970000000000000e+01	4.878364e-02
1.980000000000000e+01	4.875504e-02
1.990000000000000e+01	4.873599e-02
2.000000000000000e+01	4.870739e-02
Step Information: Rap=11  (Step: 3/11)
